n_bins,strategy,method,initial_mi,mean_mi,std_mi,min_mi,max_mi,n_runs,mean_improvement
64,kmeans,N/A,0.037724889919106275,0.05039443503096079,0.018058069874609402,0.025488995218891475,0.08334582659097145,10,0.012669545111854516
100,uniform,N/A,0.037724889919106275,0.044509020937922014,0.017702396801265705,0.014646521938974422,0.06716726750437507,10,0.006784131018815739
100,quantile,inverted_cdf,0.037724889919106275,0.06152264819072713,0.0072916309150724565,0.048442709636565606,0.07081789892214396,10,0.023797758271620853
100,quantile,averaged_inverted_cdf,0.037724889919106275,0.05619076086202439,0.006871580218757543,0.047214705310814065,0.06688108358568079,10,0.018465870942918114
100,quantile,closest_observation,0.037724889919106275,0.04600407856206432,0.008279949388419099,0.028236118291957046,0.05730141082904905,10,0.008279188642958048
100,quantile,interpolated_inverted_cdf,0.037724889919106275,0.06152264819072713,0.0072916309150724565,0.048442709636565606,0.07081789892214396,10,0.023797758271620853
100,quantile,hazen,0.037724889919106275,0.053346215307116474,0.009012664562704902,0.03758851898947291,0.07162509873481682,10,0.015621325388010199
100,quantile,weibull,0.037724889919106275,0.05204628053796658,0.009868549519589874,0.03254176451258495,0.07029840179173119,10,0.014321390618860307
100,quantile,linear,0.037724889919106275,0.05212981842254616,0.010000026697188547,0.033635682162667324,0.06646101206212318,10,0.014404928503439884
100,quantile,median_unbiased,0.037724889919106275,0.051647324330628776,0.00966672548954117,0.03426599880724179,0.0714009579154502,10,0.013922434411522501
100,quantile,normal_unbiased,0.037724889919106275,0.05106914370843416,0.009091226181219887,0.03459610444104477,0.06924915822843936,10,0.013344253789327888
100,kmeans,N/A,0.037724889919106275,0.04721212463197173,0.009318862460559095,0.03198773379319397,0.06182008995398558,10,0.009487234712865458
140,uniform,N/A,0.037724889919106275,0.03727207121824354,0.010613906888351206,0.016638636637817283,0.0525919648314086,10,-0.00045281870086273657
140,quantile,inverted_cdf,0.037724889919106275,0.04861242869570352,0.00671656068149973,0.03764675416417562,0.05837099463863904,10,0.010887538776597247
